,concept1,concept2,pred,concept1_freq,concept2_freq,concept1_top1_field,concept1_top1_ratio,concept1_top2_field,concept1_top2_ratio,concept2_top1_field,concept2_top1_ratio,concept2_top2_field,concept2_top2_ratio,community1_id,community2_id,c1_community,c2_community
7264,interdisciplinary and multidisciplinary research approaches and collaboration,professional services industry and sector studies,0.573,37,13,service,0.297,management,0.216,organization,0.385,human_resources,0.154,3,10,Institutional & Social Studies,Healthcare Management & Policy
7265,financial risk management and assessment,justice perceptions and theories in service contexts,0.573,36,13,operations,0.306,marketing,0.194,service,0.615,ethics,0.154,6,7,"Finance, Governance & Regulation",Marketing & Customer Relationship Management
7266,bibliometrics and scientometrics,robotics and automation engineering,0.573,38,17,marketing,0.184,accounting,0.158,service,0.412,economics,0.176,10,5,Healthcare Management & Policy,Innovation & Technology Management
7267,it outsourcing and management,service ecosystems theory and research,0.573,26,15,information_systems,0.731,management,0.077,service,0.733,marketing,0.2,12,3,IT & Digital Platform Management,Institutional & Social Studies
7268,transformative service research,career development and management,0.573,17,20,service,0.941,marketing,0.059,management,0.4,human_resources,0.35,3,3,Institutional & Social Studies,Institutional & Social Studies
7269,project management,social work and symbolic interaction,0.573,42,14,operations,0.381,information_systems,0.167,service,0.357,human_resources,0.214,8,3,Strategic Management & Performance,Institutional & Social Studies
7270,service ecosystems theory and research,online retail technology and platforms,0.573,15,18,service,0.733,marketing,0.2,marketing,0.333,operations,0.278,3,9,Institutional & Social Studies,Data Science & Machine Learning
7271,revenue management and systems,value cocreation in service contexts,0.573,116,20,operations,0.526,management,0.353,service,0.75,information_systems,0.1,0,18,Operations Research & Queueing Theory,Service-Dominant Logic & Value Co-creation
7272,business model concepts and evolution,"servicescapes and their design, management, and theory",0.573,19,14,management,0.316,operations,0.211,service,0.714,marketing,0.143,11,7,Sustainability & CSR,Marketing & Customer Relationship Management
7273,new service development,r&d project management and selection,0.573,22,21,service,0.455,operations,0.318,economics,0.238,management,0.238,14,5,Service Operations & Design,Innovation & Technology Management
7274,clinical and medical decision making,social work and symbolic interaction,0.573,22,14,operations,0.5,management,0.227,service,0.357,human_resources,0.214,10,3,Healthcare Management & Policy,Institutional & Social Studies
7275,service quality measurement and evaluation,"investment analysis, planning, and management",0.573,39,35,service,0.41,marketing,0.205,finance,0.343,management,0.143,14,6,Service Operations & Design,"Finance, Governance & Regulation"
7276,service experience evaluation and management,religious psychology and related disciplines,0.573,15,26,service,0.667,operations,0.267,ethics,0.423,marketing,0.385,14,3,Service Operations & Design,Institutional & Social Studies
7277,value creation and co-creation in service contexts,service differentiation,0.573,17,13,service,0.588,marketing,0.294,operations,0.538,management,0.154,3,0,Institutional & Social Studies,Operations Research & Queueing Theory
7278,accounting and financial reporting,transformative service research,0.573,123,17,accounting,0.585,ethics,0.187,service,0.941,marketing,0.059,6,3,"Finance, Governance & Regulation",Institutional & Social Studies
7279,customer-employee and service provider interactions,contract management and evaluation,0.573,70,26,service,0.3,organization,0.243,information_systems,0.231,operations,0.231,2,13,Organizational Behavior & HRM,Supply Chain & Contract Management
7280,service science and research,team performance and effectiveness,0.573,44,46,service,0.477,information_systems,0.136,organization,0.522,management,0.261,18,8,Service-Dominant Logic & Value Co-creation,Strategic Management & Performance
7281,social work and symbolic interaction,customer orientation and strategy,0.573,14,29,service,0.357,human_resources,0.214,marketing,0.69,service,0.172,3,15,Institutional & Social Studies,Retailing & Customer Experience
7282,service ecosystems theory and research,organizational justice and its dimensions,0.573,15,45,service,0.733,marketing,0.2,organization,0.422,management,0.267,3,2,Institutional & Social Studies,Organizational Behavior & HRM
7283,artificial intelligence and machine learning,healthcare utilization and access,0.573,100,12,service,0.26,marketing,0.24,economics,0.5,management,0.25,17,10,AI & Human-Computer Interaction,Healthcare Management & Policy
7284,value creation and co-creation in service contexts,market entry strategies and theories,0.573,17,23,service,0.588,marketing,0.294,management,0.565,marketing,0.217,3,5,Institutional & Social Studies,Innovation & Technology Management
7285,human-robot interaction,organizational behavior and management in healthcare,0.573,26,10,service,0.654,marketing,0.154,operations,0.3,service,0.2,17,10,AI & Human-Computer Interaction,Healthcare Management & Policy
7286,frontline employee behavior and management,text mining and analysis techniques,0.573,19,30,service,0.684,marketing,0.316,marketing,0.433,service,0.2,2,9,Organizational Behavior & HRM,Data Science & Machine Learning
7287,human-robot interaction,self-efficacy and its applications,0.573,26,31,service,0.654,marketing,0.154,organization,0.355,marketing,0.226,17,1,AI & Human-Computer Interaction,Consumer Psychology & Decision Making
7288,professional service management,service ecosystems theory and research,0.573,29,15,operations,0.345,economics,0.138,service,0.733,marketing,0.2,8,3,Strategic Management & Performance,Institutional & Social Studies
7289,customer behavior,microfinance and business models,0.573,112,14,service,0.321,operations,0.25,ethics,0.857,economics,0.143,19,11,Customer Behavior,Sustainability & CSR
7290,transformative service research,digital goods markets and economics,0.573,17,22,service,0.941,marketing,0.059,information_systems,0.455,management,0.182,3,4,Institutional & Social Studies,Platform Economics & Market Design
7291,service quality measurement and evaluation,innovation performance measurement and evaluation,0.573,39,39,service,0.41,marketing,0.205,economics,0.205,accounting,0.179,14,5,Service Operations & Design,Innovation & Technology Management
7292,dynamic capabilities theory and research,frontline employee behavior and management,0.573,41,19,management,0.317,marketing,0.146,service,0.684,marketing,0.316,8,2,Strategic Management & Performance,Organizational Behavior & HRM
7293,service quality measurement and evaluation,mergers and acquisitions,0.573,39,35,service,0.41,marketing,0.205,management,0.371,marketing,0.286,14,8,Service Operations & Design,Strategic Management & Performance
7294,transaction cost economics,robotics and automation engineering,0.573,87,17,management,0.264,information_systems,0.195,service,0.412,economics,0.176,13,5,Supply Chain & Contract Management,Innovation & Technology Management
7295,ai applications in service delivery and systems,network structure and properties,0.573,10,16,service,0.8,marketing,0.2,management,0.312,organization,0.312,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
7296,experimental methods and designs in economics,new service development,0.573,68,22,marketing,0.324,economics,0.176,service,0.455,operations,0.318,4,14,Platform Economics & Market Design,Service Operations & Design
7297,artificial intelligence and machine learning,public-private partnerships,0.573,100,15,service,0.26,marketing,0.24,operations,0.333,economics,0.2,17,3,AI & Human-Computer Interaction,Institutional & Social Studies
7298,customer lifetime value (clv) analysis and management,frontline employee behavior and management,0.573,56,19,marketing,0.786,service,0.143,service,0.684,marketing,0.316,7,2,Marketing & Customer Relationship Management,Organizational Behavior & HRM
7299,transformative service research,r&d project management and selection,0.573,17,21,service,0.941,marketing,0.059,economics,0.238,management,0.238,3,5,Institutional & Social Studies,Innovation & Technology Management
7300,robotics and automation engineering,multi-level and multi-echelon inventory systems,0.573,17,11,service,0.412,economics,0.176,operations,0.727,management,0.273,5,0,Innovation & Technology Management,Operations Research & Queueing Theory
7301,combinatorial optimization,robotics and automation engineering,0.573,28,17,operations,0.857,management,0.143,service,0.412,economics,0.176,0,5,Operations Research & Queueing Theory,Innovation & Technology Management
7302,agency theory and incentive structures,emotional expression and engagement in service interactions,0.573,67,13,management,0.209,accounting,0.134,service,0.615,marketing,0.231,6,1,"Finance, Governance & Regulation",Consumer Psychology & Decision Making
7303,service industry analysis and characteristics,emergency response management and systems,0.573,21,10,service,0.19,economics,0.143,operations,0.6,management,0.2,11,0,Sustainability & CSR,Operations Research & Queueing Theory
